"EBI20_S_14.07.2019" "EBI20_S_30.07.2019" "EBI20_S_13.08.2019" "EBI20_S_13.09.2019" "EBI20_S_11.10.2019" "EBI20_S_28.10.2019" "EBI20_S_14.11.2019" "EBI20_S_09.12.2019" "EBI20_S_14.01.2020" "EBI20_S_07.02.2020" "EBI20_S_04.03.2020" "EBI20_S_14.04.2020" "EBI20_S_29.04.2020" "EBI20_S_13.05.2020" "EBI20_S_26.05.2020" "EBI20_S_23.06.2020" "EBI20_S_09.07.2020" "EBI20_S_23.07.2020" "EBI20_S_05.08.2020" "EBI20_S_19.08.2020"
"K00055" 0.0297554605103794 0.0252688588221193 0.0272402173395081 0.0256501395746282 0.0266701588005695 0.0292073436620358 0.029815646737483 0.0313924376429768 0.0303867021216549 0.0295026687456318 0.0280251543497668 0.0300765855886903 0.0302423241362577 0.0290750695277504 0.0306907849571509 0.0330212508920164 0.026865350733645 0.0270260699033833 0.0266610988953353 0.0255396810291535
"K00057" 0.781578065119983 0.772402151046904 0.785101242473713 0.744586490129728 0.787128316410221 0.757358781151765 0.748295915083073 0.744134830652749 0.731175416038648 0.750438928801051 0.73443238258664 0.759511159945711 0.764908578949664 0.77567080160072 0.748259524060236 0.773639443135829 0.79000517778808 0.655950125461081 0.776635276460051 0.690893879042125
"K00058" 1.70973785640337 1.74584774665828 1.73673070891471 1.72525326438295 1.73299377171267 1.7380382664648 1.81507637211815 1.81565566386807 1.83321225228258 1.83472182370026 1.84227595473761 1.85437781743431 1.80345064037136 1.79417112967529 1.79198564002082 1.85324486466793 1.78765194801024 1.42051401668165 1.80144511832784 1.53823214455127
"K00059" 5.634372319078 5.56676275609883 5.69319020932922 5.42020906810798 5.7199373811919 5.64125212254097 5.91315953540601 6.01620994781441 6.08465813887693 6.2293708650193 6.19110452403079 6.36487625099059 6.12219607166537 5.86970698275067 5.83057622898315 6.27651824503893 6.00604038529135 4.76302225042089 5.96579731084807 4.97202785875605
"K00060" 0.346273594421729 0.357060987505855 0.340886788731715 0.35368302212079 0.34686278767741 0.350613290428097 0.343535084182933 0.35133043300217 0.343370879562899 0.341008846708793 0.333025028570954 0.353385100469821 0.354450519553415 0.353377636031076 0.35362527492784 0.349480129431799 0.357556753038395 0.296603313013546 0.350805820078091 0.312815946048692
"K00061" 0.0168598691294703 0.0152869285069568 0.0165628362796168 0.0172327505127749 0.0174758245623778 0.0165718074082449 0.0166435314790817 0.0165102002470893 0.0162993783730409 0.0148860024987902 0.0171585121457319 0.0173681216905068 0.0165355717641139 0.0169631320099824 0.017538316651874 0.0168706455359464 0.0171990943849253 0.012252187962952 0.0157515741014177 0.0131759798203471
"K00064" 0.162722952539597 0.177323920370543 0.180512071122057 0.18644032154618 0.178013192776235 0.175979499149221 0.187921982441618 0.184640731370173 0.176345288962821 0.188938654821879 0.186250675930667 0.190198718563352 0.18873419309825 0.187864905184442 0.177866474113607 0.191200948675939 0.185021776476478 0.152256448179753 0.179851754945018 0.154069634055992
"K00065" 0.575477379447389 0.588345496952487 0.585876899706595 0.569043570588819 0.576516135737311 0.583505796670772 0.586068798055155 0.59255340711362 0.59468308865932 0.592290420368198 0.592880964304581 0.62213839967647 0.593063354221093 0.605657684909928 0.610051796326001 0.608586672030511 0.590695613573479 0.640970490103765 0.610510751283053 0.610366619595063
"K00066" 0.105707067859131 0.0846480507399968 0.092044072520727 0.089552336312537 0.0926704358607526 0.0951391395912557 0.101245425052644 0.10062232546015 0.0989763567962607 0.101951682555332 0.0985643790394166 0.106567949450239 0.102792928935038 0.101347723746515 0.09732966808769 0.108236303179974 0.0968532633590616 0.0743558610069076 0.10001459674968 0.0717506362602181
"K00067" 0.641415279405668 0.614017970625793 0.617596619288017 0.625004495970241 0.624844919015964 0.612213513964068 0.640917101083622 0.632652904228265 0.647191480757222 0.640058954213329 0.634675064355241 0.657569545867379 0.660946325951198 0.640355020565476 0.64426027597665 0.65701001896586 0.659604696121168 0.535838220263096 0.669540837458001 0.569078102467975
"K00068" 0.0489275034590333 0.0501632754021188 0.0485839064664222 0.0498035396692444 0.0453223491768908 0.0488765254400734 0.0478079320791756 0.0427949544408591 0.0450861984703689 0.0415238731848394 0.0472398998511464 0.0441572402679327 0.0468376999896914 0.0455025574139528 0.0514372237421755 0.0445012904708716 0.0460558588659581 0.0454345683176924 0.0480054689954001 0.0450226253059464
