"","...1","EBI20_S_14.07.2019","EBI20_S_30.07.2019","EBI20_S_13.08.2019","EBI20_S_13.09.2019","EBI20_S_11.10.2019","EBI20_S_28.10.2019","EBI20_S_14.11.2019","EBI20_S_09.12.2019","EBI20_S_14.01.2020","EBI20_S_07.02.2020","EBI20_S_04.03.2020","EBI20_S_14.04.2020","EBI20_S_29.04.2020","EBI20_S_13.05.2020","EBI20_S_26.05.2020","EBI20_S_23.06.2020","EBI20_S_09.07.2020","EBI20_S_23.07.2020","EBI20_S_05.08.2020","EBI20_S_19.08.2020"
"134","ED05_S_Wi19_S51_metabat2.755",0.00130941649697403,0.00160382449180292,0.00155009553892098,0.00151103459953734,0.00121525058078166,0.00157849778078795,0.00137645051114865,0.00127566879201631,0.00120607610901823,0.00112762485474548,0.00123843174980321,0.00105858827122018,0.00108804507355549,0.00124290903129892,0.00159267173859092,0.0013348200531679,0.0013265149732199,0.00186151144932138,0.00132616512417793,0.0018313612179171
"135","ED05_S_Wi19_S51_metabat2.772",0,0.00092865330183492,0.00080416435745098,0.00110738044995606,0.0005822819296642,0,0,0,0,0.00048554570398135,0,0.0004928105465799,0,0.00063802615833007,0.00089558949019025,0.00069556355738665,0.00073893253688856,0.00135883910252488,0.00068835647202873,0.00128901629272638
"136","ED05_S_Wi19_S51_metabat2.856",0.00141122635321516,0.00126295322659892,0.00109247802514265,0.00144718632642082,0.00081257990517891,0.00123740824842028,0.00096240522113692,0.00088093094416664,0,0.00068770676136263,0.00076996291005921,0.00068823715753847,0.00078275035551787,0.00087834790818427,0.00119972145281232,0.00096499951550126,0.0010099504934531,0.00160537716525604,0.00093839813772371,0.00157913544072677
"137","ED05_S_Wi19_S51_metabat2.877",0.0011202795135983,0.00101366576659843,0.00087685750762063,0.00116611460962136,0.00064390728688489,0,0.00076800111355971,0.00068916220785737,0,0.00053835445173923,0,0.00054225269096722,0,0.00071035104835686,0.00097731523327493,0.00074837559850734,0.0008103932843907,0.00139373705289268,0.00075447188450482,0.00133179220386006
"138","ED05_S_Wi19_S51_metabat2.91",0.00110333264658488,0.00118108992133621,0.00115572521759725,0.00122540185682442,0.00085165682926157,0.00120287814632565,0.00097238086068403,0.0008820688048823,0,0.0007537081922333,0.00081639920184447,0.00071925820707185,0.00076995975106453,0.00087259049940144,0.00112586759635839,0.00093852444380673,0.00098391378608833,0.00176620609111617,0.0009511361211316,0.00165594213994133
"139","ED05_S_Wi19_S51_metabat2.913",0.00178912600788586,0.00238529484676488,0.00276345232403251,0.00214682839451806,0.00209418769358265,0.00236287990008075,0.00235010879800894,0.00216603356724247,0.00214857701562264,0.00205364238881516,0.00219788053171689,0.00176923302083029,0.0017409005056886,0.00190275417113467,0.00232057904752433,0.00224718597990349,0.00208633394331984,0.00273809610141978,0.00220045628453634,0.00279036701750963
"140","ED05_S_Wi19_S51_metabat2.915",0.00134984598105007,0.00119308282216957,0.00100833114325625,0.00139338788049797,0.00074856396341445,0.00119828548320967,0.00092134767743292,0.00082428792356521,0,0.00063133995725688,0,0.00063290917974169,0.00071152733914916,0.00080798322458018,0.00111020349560049,0.00088115493283291,0.00092755467987819,0.00154859435983292,0.00085245278936884,0.0014932959664803
"141","ED10_S_Wi18_S52_maxbin.001",0.00290941904594435,0.00387924230624239,0.00428706280520168,0.00345942791845978,0.00347782933591565,0.00376584784011639,0.0037808726765061,0.00353858363975068,0.00355186869589776,0.00341924495776443,0.00357782339477025,0.0030295654654712,0.00327724675619413,0.00320480276058959,0.00360127622715077,0.00359516564741521,0.00345513908608762,0.00368103326061643,0.00355058503506182,0.00397782280042185
"142","EL05_S_Wi19_S53_maxbin.052",0.00161167681303556,0.00209226331222452,0.00227356297019958,0.00194197553126118,0.00175360372503207,0.00205181218884123,0.00187408348083205,0.0017474691135269,0.00169415098911795,0.00162813679959787,0.00172694948837034,0.00143151296042224,0.00141505023255421,0.00160362354719619,0.00195215684817847,0.00179036160690324,0.00174453458538445,0.00250547600397729,0.00182194224447631,0.00254444971978059
"143","EM05_S_Wi19_S55_maxbin.028",0.00127756252015971,0.00099338350059147,0.00082437326001171,0.00120908810998828,0.00059714401685089,0,0.00072787016568951,0,0,0.00049264669546833,0,0.00052689633982987,0,0.00069861518260015,0.00099444956540846,0.00076033409123083,0.00081727543603693,0.0015361206220932,0.00075209928937087,0.00147509737737617
