"EOI15_S_2019.08.21" "EOI15_S_2019.09.13" "EOI15_S_2019.10.23" "EOI15_S_2019.11.08" "EOI15_S_2019.11.28" "EOI15_S_2020.01.20" "EOI15_S_2020.02.07" "EOI15_S_2020.03.26" "EOI15_S_2020.04.23" "EOI15_S_2020.05.15" "EOI15_S_2020.06.09" "EOI15_S_2020.07.02" "EOI15_S_2020.07.15" "EOI15_S_2020.07.28" "EOI15_S_2020.08.14" "EOI15_S_2020.09.01" "EOI15_S_2020.09.23" "EOI15_S_2020.10.09" "EOI15_S_2020.10.22" "EOI15_S_2020.11.05" "EOI15_S_2020.12.02"
"K00027" 0.320323060069912 0.3318299918659 0.294640327243644 0.300129428807918 0.318242783002285 0.380162774862806 0.293712341607785 0.296809602569696 0.307261113007649 0.296941228740071 0.297304553464931 0.29388142401426 0.318980494494871 0.293390699157976 0.289430218828522 0.310282632798504 0.306140665420785 0.302022894598014 0.311565318002424 0.318018485950931 0.35085843115558
"K00029" 0.975147589997177 0.927286973340939 0.948139998366201 1.03003850304434 1.05190892351991 0.886482192335338 0.923932262500724 0.95372703794461 0.94195907160943 1.0008214996526 0.91500906953567 0.91640736257951 0.901028792285866 0.911332989012425 0.903966510724948 0.923255244708381 0.889602031203424 0.904225550379886 0.888728368498562 0.905802517603476 0.914112972773609
"K00030" 0.13539333725605 0.133847199176758 0.120088431200654 0.121986889314066 0.126667593044659 0.15369135302461 0.123015992254197 0.128335235706337 0.12855200170021 0.130561719869422 0.128439770768943 0.119406243257619 0.146914547047758 0.120149163062117 0.123992566912377 0.131585511051876 0.135975742166631 0.129178244597577 0.137328651591416 0.135051046798648 0.147966449558813
"K00031" 1.15165786556876 1.13080728372228 1.14075533988036 1.19816968270968 1.21655210601893 1.1057611548235 1.14429314073738 1.15472202678596 1.15191160914477 1.19649188919933 1.1340211041333 1.13977274639115 1.12097832173492 1.13733007842566 1.13508429966287 1.13664851928733 1.1149384989685 1.11587859430058 1.10950294869638 1.10712962525354 1.11695620214253
"K00033" 0.5983716738858 0.619230097252984 0.554974190370034 0.555934605719464 0.580873451837328 0.635761420898196 0.566745628811567 0.58134368849806 0.593795323036561 0.594168597662426 0.589486867718249 0.573046043500981 0.62177319095881 0.58041985341662 0.58634760849073 0.608676829905922 0.602035242805179 0.604462395488483 0.605707446948086 0.618772463250807 0.623713618917194
"K00034" 0.252645526643613 0.246833300264466 0.211231887957077 0.228196667000645 0.235932007407481 0.272867700862336 0.231510857106208 0.236516062065906 0.243824121221289 0.224688303141182 0.23446189000877 0.225961643307566 0.259548991543344 0.227238059092429 0.233795221623057 0.242367270365168 0.248804736812447 0.245006540456486 0.244107630260087 0.26050181185979 0.263628323787535
"K00035" 0.0411095237624118 0.0396945624463269 0.0391111741027802 0.0369522527500875 0.0373623922556633 0.0453363776521153 0.0380255260646458 0.0369337247898712 0.0411244074763868 0.0391538516135922 0.0421525602205992 0.0393047053968942 0.0389132647067579 0.0375393018556243 0.0387744352070359 0.0429541011066097 0.0432737946073803 0.0415124210690797 0.0426121319535481 0.0393820030201235 0.0428381981206486
"K00036" 0.674114071717277 0.678692191274718 0.605923358385867 0.665613470348079 0.707546528100672 0.722157422208686 0.631562682716129 0.678830277359898 0.680628589616049 0.661291868684762 0.644506598196634 0.6198735786146 0.684508301607902 0.638748651543755 0.635626595744137 0.643772872417343 0.64780723609069 0.646207288192645 0.650554625343956 0.67225464364909 0.68579769475283
"K00038" 0.213915849525992 0.209815631981336 0.195341638873666 0.204620580311566 0.215890200854139 0.218235186885925 0.200468258043972 0.206379305822888 0.200574266681107 0.206874201936441 0.197706000245287 0.197187009997986 0.21002539478678 0.197452255268272 0.197663562327631 0.201455829815563 0.193445086582914 0.201015863006632 0.194955087034933 0.203634154530706 0.225806304292165
"K00039" 0.0273966365836079 0.0275803323636212 0.0200874260181678 0.0284618846635427 0.0331445481963783 0.0356771923790472 0.0215199903948897 0.0259764629829774 0.0225471007686293 0.0263946054019678 0.0208897464192239 0.0209443543420244 0.0236176455039392 0.0220911631252833 0.0222252082760359 0.0260370253236785 0.0262619489323755 0.0231066173882717 0.0251296373980449 0.0259055166889816 0.0325258413369672
